nome,cnpj,produto,data,preco,bandeira
O.F.F. MANSOUR EIRELI  - ME,18342662000105,ETANOL,26/02/2020,"4,199",PETROBRAS DISTRIBUIDORA S.A.
POSTO MAGUARY COMÉRCIO DE COMBUSTIVEIS LTDA,12534508000159,ETANOL,03/02/2020,"3,65",BRANCA
SUPER POSTO EXPRESS LTDA,83914226000125,ETANOL,03/02/2020,"3,66",BRANCA
POSTO 40 HORAS COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA.,14514225000170,ETANOL,04/02/2020,"3,65",BRANCA
POSTO UBN LTDA,03577000000490,ETANOL,04/02/2020,"3,65",BRANCA
GONCALVES & DIAS LTDA,07868912000129,ETANOL,05/02/2020,"4,147",PETROBRAS DISTRIBUIDORA S.A.
LIDER COMERCIO DE COMBUSTIVEIS LTDA- EPP,17403053000156,ETANOL,05/02/2020,"3,95",SABBÁ
GONCALVES & DIAS LTDA,07868912000129,ETANOL,10/02/2020,"4,147",PETROBRAS DISTRIBUIDORA S.A.
LIDER COMERCIO DE COMBUSTIVEIS LTDA- EPP,17403053000156,ETANOL,10/02/2020,"3,65",SABBÁ
POSTO 40 HORAS COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA.,14514225000170,ETANOL,10/02/2020,"3,65",BRANCA
POSTO UBN LTDA,03577000000490,ETANOL,10/02/2020,"3,95",BRANCA
SUPER POSTO EXPRESS LTDA,83914226000125,ETANOL,10/02/2020,"3,66",BRANCA
GONCALVES & DIAS LTDA,07868912000129,ETANOL,17/02/2020,"4,147",PETROBRAS DISTRIBUIDORA S.A.
LIDER COMERCIO DE COMBUSTIVEIS LTDA- EPP,17403053000156,ETANOL,17/02/2020,"3,65",SABBÁ
POSTO 40 HORAS COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA.,14514225000170,ETANOL,17/02/2020,"3,65",BRANCA
SUPER POSTO EXPRESS LTDA,83914226000125,ETANOL,17/02/2020,"3,66",BRANCA
POSTO UBN LTDA,03577000000228,ETANOL,18/02/2020,"3,64",BRANCA
GONCALVES & DIAS LTDA,07868912000129,ETANOL,28/02/2020,"4,147",PETROBRAS DISTRIBUIDORA S.A.
LIDER COMERCIO DE COMBUSTIVEIS LTDA- EPP,17403053000156,ETANOL,28/02/2020,"3,65",SABBÁ
POSTO 40 HORAS COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA.,14514225000170,ETANOL,28/02/2020,"3,65",BRANCA
POSTO MAGUARY COMÉRCIO DE COMBUSTIVEIS LTDA,12534508000159,ETANOL,28/02/2020,"3,65",BRANCA
POSTO UBN LTDA,03577000000490,ETANOL,28/02/2020,"3,65",BRANCA
AUTO POSTO GK EIRELI,07909407000185,ETANOL,04/02/2020,"3,899",PETROBRAS DISTRIBUIDORA S.A.
DUARTE & SANTOS LTDA,22960942000154,ETANOL,04/02/2020,"3,999",PETROBRAS DISTRIBUIDORA S.A.
M M AUTO POSTO LTDA,04566961000119,ETANOL,04/02/2020,"3,999",SABBÁ
POSTO INVENCIVEL LTDA,04901294000183,ETANOL,04/02/2020,"3,929",PETROBRAS DISTRIBUIDORA S.A.
POSTO PIT STOP DUQUE LTDA,24902119000118,ETANOL,04/02/2020,"3,889",PETROBRAS DISTRIBUIDORA S.A.
SUPER POSTO TRIANGULO LTDA,03160149000126,ETANOL,04/02/2020,"3,939",IPIRANGA
SUPERCENTRO POSTOS DE SERVIÇO LTDA,05303828000132,ETANOL,04/02/2020,"3,899",SABBÁ
CM COMERCIO DE COMBUSTIVEIS LTDA,04970059000163,ETANOL,05/02/2020,"3,999",BRANCA
DUARTE & SANTOS LTDA,22960942000235,ETANOL,05/02/2020,"3,999",PETROBRAS DISTRIBUIDORA S.A.
IRMAOS TEIXEIRA LTDA,04976718001221,ETANOL,05/02/2020,"4,099",IPIRANGA
J CARLOS SILVA COMERCIO EIRELI - EPP,00590313000147,ETANOL,05/02/2020,"3,999",PETROBRAS DISTRIBUIDORA S.A.
NORTE REVENDEDORA LIMITADA,04657250000150,ETANOL,05/02/2020,"3,999",SABBÁ
POSTO ALIANCA EIRELI,14685994000131,ETANOL,05/02/2020,"3,999",PETROBRAS DISTRIBUIDORA S.A.
POSTO DE GASOLINA PIT STOP LTDA.,07864785000270,ETANOL,05/02/2020,"3,999",IPIRANGA
POSTO ITEX LTDA - EPP,21995320000107,ETANOL,05/02/2020,"4,179",IPIRANGA
POSTO TEXAS LTDA,34635144000136,ETANOL,05/02/2020,"3,75",BRANCA
AUTO POSTO GK EIRELI,07909407000185,ETANOL,10/02/2020,"3,999",PETROBRAS DISTRIBUIDORA S.A.
