nome,cnpj,produto,data,preco,bandeira
PETRODUTRA COMERCIAL LTDA,04527224000107,GASOLINA,20/02/2020,"4,399",RAIZEN
GMV COMBUSTÍVEIS LTDA,04527919000199,GASOLINA,13/02/2020,"4,409",DISLUB
POSTO NOVA BARRA LTDA,04528732000100,ETANOL,27/02/2020,"4,599",PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO ALFENAS LTDA,04529490000179,ETANOL,24/02/2020,"3,497",PETROBRAS DISTRIBUIDORA S.A.
BARROS & OLIVEIRA LTDA,04532515000193,GASOLINA,28/02/2020,"4,79",BRANCA
POSTO QUALITY SUPRA LTDA,04532663000108,GASOLINA,19/02/2020,"4,399",RAIZEN
A C AGUIAR E FILHOS LTDA,04533869000152,GASOLINA,20/02/2020,"4,549",BRANCA
C A NASSU AUTO POSTO,04534073000114,ETANOL,28/02/2020,"3,129",BRANCA
AUTOMINAS COMERCIAL LTDA,04534424000197,ETANOL,24/02/2020,"3,599",PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO PETRO NAÇOES BAURU LTDA,04534449000190,GASOLINA,12/02/2020,"4,299",RAIZEN
AUTO POSTO LM DE CAMPINAS LTDA,04534532000160,GASOLINA,03/02/2020,"4,499",PETROBRAS DISTRIBUIDORA S.A.
FERREIRA & ALVARES LTDA,04534989000174,ETANOL,24/02/2020,"3,799",ALESAT
AUTO POSTO NOVA SAO JOAO II LTDA,04535904000172,ETANOL,27/02/2020,"3,099",BRANCA
AUTO POSTO LP FRANCIS LTDA,04539801000180,ETANOL,24/02/2020,"3,799",PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO SENTINELA EIRELI,04540507000199,GASOLINA,20/02/2020,"4,099",PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO TRES RIACHOS LTDA,04540652000170,ETANOL,25/02/2020,"3,799",ALESAT
VIA SUL LTDA,04542337000181,GASOLINA,25/02/2020,"4,229",RAIZEN MIME
J D DE LIMA OLIVEIRA,04549335000114,GASOLINA,17/02/2020,"4,69",BRANCA
AUTO POSTO ITARARE DE SAO VICENTE LTDA,04550260000191,ETANOL,26/02/2020,"3,079",RAIZEN
LORENTZ LAMEGO COMBUSTIVEIS LTDA,04550664000185,ETANOL,26/02/2020,"3,499",RAIZEN
SAN-HELL AUTO POSTO LTDA,04550718000102,ETANOL,27/02/2020,"3,149",IPIRANGA
